id,hotel,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests
1,City Hotel,6,2017,August,33,18,0,2,2,0,0,BB,SWE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,NULL,0,Transient,136.8,0,2
2,Resort Hotel,166,2017,June,26,25,4,10,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,1,No Deposit,243,NULL,0,Transient,110,0,0
3,City Hotel,74,2017,July,30,28,0,2,3,0,0,HB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,252,0,2
4,Resort Hotel,194,2017,July,29,22,2,4,2,0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,183.75,0,2
5,City Hotel,30,2017,August,35,30,0,3,2,0,0,BB,CHN,Online TA,TA/TO,0,0,0,D,D,4,No Deposit,9,NULL,0,Transient,166.33,0,1
6,City Hotel,11,2017,May,20,15,1,2,2,0,0,BB,UMI,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9,NULL,0,Transient,200,0,1
7,Resort Hotel,0,2017,April,15,11,0,1,1,0,0,BB,PRT,Corporate,Corporate,1,1,25,A,F,0,No Deposit,88,NULL,0,Transient,45,0,0
8,City Hotel,132,2017,August,31,1,0,4,2,1,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,0,Refundable,8,NULL,0,Transient,209.7,0,0
9,Resort Hotel,4,2017,April,17,26,0,2,1,0,0,BB,PRT,Corporate,Corporate,1,0,1,A,A,0,No Deposit,NULL,112,0,Transient,45,0,0
10,City Hotel,236,2017,May,20,18,1,3,3,0,0,HB,DNK,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,220.4,0,2
11,Resort Hotel,247,2017,June,24,13,2,5,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,80.1,0,1
